"infection","Mouse_ID","end_rel_weight","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","Feces_Weight","dpi","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","MC.Eimeria","delta_ct_cewe_MminusE","IFNy_CEWE","IFNy_MES","IRG6","IL.12","CASP1","CXCL9","CXCR3","IDO1","IFNy","IL.10","IL.12A","IL1RN","IL.6","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PPIB","PRF1","RETNLB","SOCS1","TICAM1","TNF","IL.17A","GAPDH","IL.13","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","max_dpi","max_OOC","max_WL","death","hybrid_status","Parasite_primary","Parasite_challenge","dpi_max","origin","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","eimeriaSpecies","Ct.Eimeria","Ct.Mus","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","Ticks","Host","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp","Sperm","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","IFNy_imp","CXCR3_imp","IL.6_imp","IL.13_imp","IL.10_imp","IL1RN_imp","CASP1_imp","CXCL9_imp","IDO1_imp","IRGM1_imp","MPO_imp","MUC2_imp","MUC5AC_imp","MYD88_imp","NCR1_imp","PRF1_imp","RETNLB_imp","SOCS1_imp","TICAM1_imp","TNF_imp","WL_max"
"challenge","LM0227",99.7904442581727,"E57","E88","E64","BUSNA_STRA","E57bxMNW",23.81,23.86,99.7904442581727,2.73,8,3,5,8,1,1,17,42500,"falciformis_ferrisi",TRUE,-5.79,54.4201292769137,NA,-4.425,-9.13,22.0291966756966,13.6022550903887,20.9266575450285,13.6855072135406,19.6913762062694,21.7883683973286,22.0540301010045,16.4233844054409,21.0904488953813,11.6255162599195,23.1610924434397,11.3942309375872,12.3683119226889,16.8569854094288,23.3323402407338,13.8372505612264,27.5328964430075,11.3899959890668,13.0259614674568,19.8228070004789,21.0106469409461,NA,NA,NA,"mLN",44.9,6.385,16.205,13.52,6.78,71.2,0.89,46.875,14.39,11.5,49.52,4.915,21.74,15567.7655677656,7.02526117343341,"pos",93.605,0.415,NA,8,245000,95.8927074601844,"challenge","F1 hybrid","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6913762062694,20.9266575450285,21.0904488953813,15.4366376537403,21.7883683973286,16.4233844054409,22.0291966756966,13.6022550903887,13.6855072135406,11.6255162599195,23.1610924434397,11.3942309375872,12.3683119226889,16.8569854094288,23.3323402407338,27.5328964430075,11.3899959890668,13.0259614674568,19.8228070004789,21.0106469409461,NA
"challenge","LM0228",110.692416391898,"E57","E88","E64","STRA_BUSNA","E57bxBGY",23.5,21.23,110.692416391898,1.13,8,13,6,11,6,1,36,90000,"falciformis_ferrisi",TRUE,-5.91,84.9852124920339,NA,-4.3925,-6.9325,24.2505366490958,14.530482230102,21.6207481925541,12.3478233849638,20.8594681487319,22.9225537556405,NA,20.1351025190113,25.3259995192603,10.0339860668154,26.6797167200264,9.72451627418767,14.5991346659189,18.0104430682271,22.8931215536978,13.660586988559,26.2638329243728,7.85713019697681,10.2924933621838,17.6609876294228,22.3628219700418,27.3172963737582,NA,NA,"mLN",46.145,7.005,21.365,11.565,10.92,75.115,1.075,42.39,13.84,13.205,59.09,9.085,27.535,79646.0176991151,4.99875306588759,"pos",92.97,0.385,NA,8,875000,100,"challenge","F1 hybrid","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8594681487319,21.6207481925541,25.3259995192603,14.2395416432676,22.9225537556405,20.1351025190113,24.2505366490958,14.530482230102,12.3478233849638,10.0339860668154,26.6797167200264,9.72451627418767,14.5991346659189,18.0104430682271,22.8931215536978,26.2638329243728,7.85713019697681,10.2924933621838,17.6609876294228,22.3628219700418,NA
"challenge","LM0229",99.7376705141658,"E57","E88","UNI","SCHUNT_SCHUNT","E57bxEMW",19.01,19.06,99.7376705141658,2.36,8,0,0,0,0,1,0,0,"falciformis_uninfected",FALSE,-7.12,11.9382981889895,NA,-3.1225,-4.6475,22.5551139808118,18.9909275849876,23.6653656848417,15.9024095300201,NA,24.9002494072624,27.7955876695484,18.1491629764574,24.180209060652,7.81060387080035,NA,7.74929330346136,12.8712104139678,20.0599381790986,23.9648641562199,14.4941092225394,NA,9.18435473973411,9.20500776700764,19.1173568160569,22.8121320789382,22.7615767953648,NA,NA,"mLN",56.22,7.15,12.455,9.505,2.965,19.84,1.63,30.055,10.02,10.915,11.535,3.045,41.36,0,1.65664455658793,"neg",92.845,0.575,NA,8,0,96.4323189926548,"challenge","F0 M. m. domesticus","E_falciformis","uninfected",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8542143533352,23.6653656848417,24.180209060652,15.640122069516,24.9002494072624,18.1491629764574,22.5551139808118,18.9909275849876,15.9024095300201,7.81060387080035,21.4130046092194,7.74929330346136,12.8712104139678,20.0599381790986,23.9648641562199,27.5328964430075,9.18435473973411,9.20500776700764,19.1173568160569,22.8121320789382,NA
"challenge","LM0231",98.7433542774287,"E57","E88","E64","PWD_SCHUNT","E57bxCEK",20.43,20.69,98.7433542774287,2.81,8,13,15,16,16,1,60,150000,"falciformis_ferrisi",TRUE,-5.16,37.5056012557841,NA,-4.3125,-6.8575,27.5034104804628,14.0392859808,20.213119954122,12.783337096282,21.1936794940158,22.3102941555196,24.9166729862101,16.7937684859623,23.9078144688627,10.1576021543994,27.6762830684407,7.18327173152845,14.0414963523193,15.6189480495685,23.454047006391,10.9071136772582,23.2406230701915,3.9201919398974,10.6925675379536,15.46166730572,18.9602445173629,23.5927714855823,NA,NA,"mLN",40.59,6.45,23.76,12.78,9.25,81.21,1.705,78.305,25.305,11.105,55.935,9.085,38.165,53380.7829181495,0.887669072138454,"pos",93.505,0.85,NA,8,1257500,98.7433542774287,"challenge","F1 hybrid","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1936794940158,20.213119954122,23.9078144688627,14.9618334823948,22.3102941555196,16.7937684859623,27.5034104804628,14.0392859808,12.783337096282,10.1576021543994,27.6762830684407,7.18327173152845,14.0414963523193,15.6189480495685,23.454047006391,23.2406230701915,3.9201919398974,10.6925675379536,15.46166730572,18.9602445173629,NA
"challenge","LM0232",102.313234736443,"E57","E88","UNI","BUSNA_STRA","E57bxCUY",26.98,26.37,102.313234736443,2.15,8,0,0,0,0,1,0,0,"falciformis_uninfected",TRUE,-6.22,21.8877741271661,NA,-3.01,-5.435,25.4562427446118,19.2054175249985,23.0282918299618,18.2542676941722,NA,27.6731938408833,21.283178829474,18.9853159899162,23.195713977363,9.24154377070408,NA,9.86958991490604,14.3715203726778,17.5384552844574,24.12713960521,13.6344535336585,27.0901521234795,8.71113298854733,10.5861176196997,17.035056371546,24.7763947236091,27.6643462053201,NA,NA,"mLN",52.245,8.695,13.465,14.4,2.545,27.85,1.06,27.445,17.55,9.815,12.83,2.005,19.39,0,1.77673412685823,"pos",91.305,0.25,NA,8,0,100,"challenge","F1 hybrid","E_falciformis","uninfected",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0519898177809,23.0282918299618,23.195713977363,14.2395416432676,27.6731938408833,18.9853159899162,25.4562427446118,19.2054175249985,18.2542676941722,9.24154377070408,21.300549782493,9.86958991490604,14.3715203726778,17.5384552844574,24.12713960521,27.0901521234795,8.71113298854733,10.5861176196997,17.035056371546,24.7763947236091,NA
"challenge","LM0233",100.638226402419,"E57","E88","UNI","STRA_STRA","E57bxSTU",29.96,29.77,100.638226402419,1.75,8,0,0,0,0,1,0,0,"falciformis_uninfected",TRUE,-5.97,81.662990584743,NA,NA,-6.1225,23.1409731860533,19.0781732223398,23.1857375950429,18.4888802747656,23.2519718590616,25.825431164783,24.6130038932218,19.4582498750562,22.595716651092,9.1973738703849,24.9461220837294,8.22592159424088,11.5835334359539,20.0538889211594,25.4337710635347,14.4037280578944,27.843007938989,15.8036763737417,10.0370310185361,18.9291452729082,25.0190863951116,28.888649522421,NA,NA,"mLN",46.895,6.89,13.355,7.035,2.9,25.52,0.695,32.195,7.49,5.395,21.31,2.795,19.23,0,4.86923097297706,"neg",93.11,0.27,NA,8,0,99.9328182734296,"challenge","F0 M. m. domesticus","E_falciformis","uninfected",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2519718590616,23.1857375950429,22.595716651092,14.2395416432676,25.825431164783,19.4582498750562,23.1409731860533,19.0781732223398,18.4888802747656,9.1973738703849,24.9461220837294,8.22592159424088,11.5835334359539,20.0538889211594,25.4337710635347,27.843007938989,15.8036763737417,10.0370310185361,18.9291452729082,25.0190863951116,NA
"challenge","LM0234",99.6336996336996,"E57","E88","E64","STRA_STRA","E57bxBLW",32.64,32.76,99.6336996336996,1.63,8,4,10,7,6,1,27,67500,"falciformis_ferrisi",TRUE,-7.89,112.055644071278,NA,-1.0425,-4.8275,23.1112735431548,14.6777347118937,20.1963236918155,14.4309314526972,20.6436698971811,21.6291451975255,22.2915427746276,18.5558233802074,23.9144957552778,8.60094216904668,24.9077475332871,8.73069006136072,11.9004918431584,18.1772564544278,23.2548172561673,14.5446123596065,23.5434754977389,11.9309509795787,10.1372818951143,17.8902605311439,20.406861685511,NA,NA,NA,"mLN",49.47,6.065,24.795,13.95,6.87,76.515,1.11,65.735,9.065,8.9,55.69,8.455,34.31,41411.0429447853,5.98219397547729,"pos",93.935,0.295,NA,8,1057500,97.8937728937729,"challenge","F0 M. m. domesticus","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6436698971811,20.1963236918155,23.9144957552778,15.640122069516,21.6291451975255,18.5558233802074,23.1112735431548,14.6777347118937,14.4309314526972,8.60094216904668,24.9077475332871,8.73069006136072,11.9004918431584,18.1772564544278,23.2548172561673,23.5434754977389,11.9309509795787,10.1372818951143,17.8902605311439,20.406861685511,NA
"challenge","LM0235",99.6424923391216,"E57","E88","E64","STRA_SCHUNT","E57bxDTU",19.51,19.58,99.6424923391216,0.95,8,1,0,1,0,1,2,5000,"falciformis_ferrisi",TRUE,-5.84,53.5403908319353,NA,-3.0275,-5.5975,25.0635729706571,14.219461623835,23.7310533110951,15.6662911156638,22.3005909660831,23.610255270593,23.8706904773282,17.6766621272851,21.1434576165948,8.297134761052,25.6189639250545,7.52241429176678,13.1482065456395,19.0381801747709,23.6967304703538,14.1094199540657,28.0043581381057,10.795116287208,10.1874642776679,17.9863377881154,21.9150994821065,26.9021283600333,NA,NA,"mLN",45.74,6.52,17.115,8.645,9.585,51.87,1.09,40.6,13.995,9.2,55.97,8.755,28.69,5263.15789473684,2.12034089731856,"pos",93.46,0.28,NA,8,377500,97.7017364657814,"challenge","F1 M. m. domesticus","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3005909660831,23.7310533110951,21.1434576165948,15.4366376537403,23.610255270593,17.6766621272851,25.0635729706571,14.219461623835,15.6662911156638,8.297134761052,25.6189639250545,7.52241429176678,13.1482065456395,19.0381801747709,23.6967304703538,28.0043581381057,10.795116287208,10.1874642776679,17.9863377881154,21.9150994821065,NA
"challenge","LM0236",103.047619047619,"E57","E88","E64","STRA_STRA","E57bxFRU",27.05,26.25,103.047619047619,2.33,8,8,4,11,8,1,31,77500,"falciformis_ferrisi",TRUE,-6.02,121.105391312534,NA,-2.0425,-5.0925,22.4501145795976,16.2030850810788,23.1846175962943,14.9523422120304,NA,NA,24.3751229157779,19.316529484395,22.0213545292961,8.99735983931931,29.211325229614,8.15666095738853,8.68499206971259,20.3927553978497,23.8111185658221,16.4419766101856,NA,11.763446614181,9.83325136555701,20.0468874437046,25.9983436930755,29.393211548114,NA,NA,"mLN",46.33,6.465,21,14.54,7.02,67.36,1.615,65.055,8.84,8.375,45.895,12.91,46.265,33261.8025751073,0.939915392134487,"pos",93.535,0.61,NA,8,792500,88.952380952381,"challenge","F0 M. m. domesticus","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8542143533352,23.1846175962943,22.0213545292961,15.4366376537403,18.3395866730099,19.316529484395,22.4501145795976,16.2030850810788,14.9523422120304,8.99735983931931,29.211325229614,8.15666095738853,8.68499206971259,20.3927553978497,23.8111185658221,27.5947403194681,11.763446614181,9.83325136555701,20.0468874437046,25.9983436930755,NA
"challenge","LM0238",95.4184198223469,"E57","E88","E64","PWD_BUSNA","E57bxLYZ",20.41,21.39,95.4184198223469,1.38,8,22,23,22,20,1,87,217500,"falciformis_ferrisi",TRUE,-4.42,61.4115394386923,NA,-4.3375,-6.3925,23.5540725323124,12.888287470123,19.2169807477729,11.6635512311409,20.7110120479232,22.9486088610493,22.4657442876761,17.29026910536,19.6251861907229,9.05215962541348,27.4645057279806,8.64257116807127,10.3427143520517,14.618691018641,21.3996805565785,9.4143498510904,20.4514089182612,4.0796041966491,11.2421699325579,15.1265041801971,18.2183128631643,23.5008702072269,NA,NA,"mLN",43.325,8.915,13.09,6.825,7.71,79.02,1.185,55.835,26.505,18.26,38.45,4.59,27.8,157608.695652174,3.47981538698723,"pos",91.075,0.335,NA,8,437500,93.9223936418887,"challenge","F1 M. m. musculus","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7110120479232,19.2169807477729,19.6251861907229,14.9618334823948,22.9486088610493,17.29026910536,23.5540725323124,12.888287470123,11.6635512311409,9.05215962541348,27.4645057279806,8.64257116807127,10.3427143520517,14.618691018641,21.3996805565785,20.4514089182612,4.0796041966491,11.2421699325579,15.1265041801971,18.2183128631643,NA
"challenge","LM0239",95.1571354971664,"E57","E88","UNI","SCHUNT_SCHUNT","E57bxJMR",18.47,19.41,95.1571354971664,2.87,8,0,0,0,0,1,0,0,"falciformis_uninfected",TRUE,-6.76,25.060196364609,NA,-6.93916666666667,-5.6925,23.8159818770357,20.3061694675961,22.520770869408,16.9300062736713,NA,23.8575072294536,22.4339067794941,20.5891815957729,NA,8.1622006501555,25.5412441804296,8.85969255774225,15.4605002399199,19.281728955202,23.6605967762951,15.5350585541766,NA,12.5125543029413,8.3901154289691,17.0027908424967,24.3928420769911,27.7184852892587,NA,NA,"mLN",68.01,3.63,14.11,14.35,1.73,14.31,0.925,33.075,13.9,3.785,8.985,1.69,13.755,0,5.68730891054033,"pos",96.36,0.385,NA,8,0,95.1571354971664,"challenge","F0 M. m. domesticus","E_falciformis","uninfected",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0863092824501,22.520770869408,26.8401851691317,14.2395416432676,23.8575072294536,20.5891815957729,23.8159818770357,20.3061694675961,16.9300062736713,8.1622006501555,25.5412441804296,8.85969255774225,15.4605002399199,19.281728955202,23.6605967762951,27.5947403194681,12.5125543029413,8.3901154289691,17.0027908424967,24.3928420769911,NA
"challenge","LM0240",100,"E57","E88","E64","SCHUNT_PWD","E57bxCIW",20.45,20.45,100,1.39,8,0,0,0,1,1,1,2500,"falciformis_ferrisi",TRUE,-6.65,43.3808823861458,NA,-2.455,-5.66,22.7009523014771,13.0180593774902,19.121773301477,10.7053612726095,19.0330455141537,20.6242156879116,21.8528046062565,17.3825399858799,25.263313794222,7.5653020929804,24.9143864033321,6.90494895448122,15.3598698839964,14.6123366138279,20.069570381716,8.93146449259218,21.0138444917727,3.59877768391926,8.89285280671148,14.3463193824944,18.1837642472505,24.0378078601409,NA,NA,"mLN",37.435,9.045,20.515,9.26,9.1,64.37,0.805,49.91,31.115,13.46,38.515,9.6,30.505,1798.56115107914,5.61738807203253,"pos",90.935,0.64,NA,8,317500,100,"challenge","F1 hybrid","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0330455141537,19.121773301477,25.263313794222,15.4366376537403,20.6242156879116,17.3825399858799,22.7009523014771,13.0180593774902,10.7053612726095,7.5653020929804,24.9143864033321,6.90494895448122,15.3598698839964,14.6123366138279,20.069570381716,21.0138444917727,3.59877768391926,8.89285280671148,14.3463193824944,18.1837642472505,NA
"challenge","LM0247",95.5768521931441,"E57","E88","UNI","STRA_SCHUNT","E57bxJMX",25.93,27.13,95.5768521931441,7.14,8,0,1,0,0,1,1,2500,"falciformis_uninfected",TRUE,-4.68,15.7742979705957,NA,-3.9525,-6.0825,22.4951825075151,17.3920892055468,22.4503171332931,15.6752492650797,NA,NA,24.0887717770285,17.7497175871724,22.6933471755817,9.84150808970637,25.1986199512889,7.87121880992098,8.67855142766924,16.2851357574055,24.3767044883014,10.0742618014015,25.1022376611852,11.6459650951572,10.6740336447483,15.6493987100139,20.9363782085568,25.6638427414561,NA,NA,"mLN",53.25,6.895,7.85,9.015,2.505,19.19,0.945,28.815,18.08,3.455,8.71,1.95,13.49,350.140056022409,5.74965573181054,"pos",93.1,0.165,NA,8,12500,95.5768521931441,"challenge","F1 M. m. domesticus","E_falciformis","uninfected",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0519898177809,22.4503171332931,22.6933471755817,15.640122069516,17.9014504526002,17.7497175871724,22.4951825075151,17.3920892055468,15.6752492650797,9.84150808970637,25.1986199512889,7.87121880992098,8.67855142766924,16.2851357574055,24.3767044883014,25.1022376611852,11.6459650951572,10.6740336447483,15.6493987100139,20.9363782085568,NA
"challenge","LM0248",87.7237851662404,"E57","E88","E64","STRA_SCHUNT","E57bxAPS",20.58,23.46,87.7237851662404,2.5,8,0,2,0,2,1,4,10000,"falciformis_ferrisi",TRUE,-6.92,31.9834136276131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mLN",43.09,6.12,21.885,25.48,7.62,60.78,1.415,45.325,16.055,7.815,60.255,8.38,29.545,4000,4.43651968737429,"pos",93.865,1.025,NA,8,1272500,87.7237851662404,"challenge","F1 M. m. domesticus","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"challenge","LM0249",93.4865900383142,"E57","E88","E64","SCHUNT_STRA","E57bxPSV",24.4,26.1,93.4865900383142,2.71,8,1,0,1,1,1,3,7500,"falciformis_ferrisi",TRUE,-5.96,25.5475919853859,NA,-4.1475,-6.6525,22.8426693013744,15.5421682373731,22.5115227444581,13.0790902828355,20.3164719069852,23.0159578702143,23.1306655340547,16.693969882567,20.956645893644,10.5480034075796,23.1242820365724,9.80814185059367,10.4495043586447,16.9818417757977,23.7629551718165,13.3543510002038,27.1767883272609,12.5342582257646,11.7182985941356,17.567153879818,20.519715885502,23.0224461404391,NA,NA,"mLN",47.34,6.465,16.775,13.315,4.84,54.635,0.97,35.275,19.235,4.93,44.24,4.355,23.725,2767.52767527675,1.62435853414336,"pos",93.51,0.73,NA,8,370000,91.0727969348659,"challenge","F1 M. m. domesticus","E_falciformis","E_ferrisi",8,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3164719069852,22.5115227444581,20.956645893644,14.4965834816085,23.0159578702143,16.693969882567,22.8426693013744,15.5421682373731,13.0790902828355,10.5480034075796,23.1242820365724,9.80814185059367,10.4495043586447,16.9818417757977,23.7629551718165,27.1767883272609,12.5342582257646,11.7182985941356,17.567153879818,20.519715885502,NA
